Relation Data
ID,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5
1753,0.303,0.460,0.486,0.661,0.635
1754,0.498,0.252,0.885,0.464,0.618
1755,0.600,0.194,0.735,0.281,0.158
1756,0.939,0.738,0.228,0.652,0.285
1757,0.459,0.422,0.354,0.929,0.447
1758,0.725,0.437,0.659,0.236,0.399
1759,0.224,0.543,0.454,0.679,0.452
1760,0.934,0.216,0.600,0.751,0.056
1761,0.322,0.727,0.511,0.689,0.078
1762,0.676,0.186,0.329,0.231,0.116
1763,0.870,0.259,0.678,0.456,0.685
1764,0.166,0.094,0.575,0.094,0.293
1765,0.552,0.755,0.786,0.635,0.553
1766,0.452,0.169,0.334,0.621,0.653
1767,0.835,0.288,0.757,0.350,0.582
1768,0.942,0.605,0.094,0.716,0.383
1769,0.127,0.695,0.363,0.137,0.979
1770,0.856,0.516,0.544,0.508,0.959
1771,0.329,0.168,0.504,0.260,0.975
1772,0.468,0.406,0.486,0.019,0.893
1773,0.644,0.172,0.832,0.600,0.220
1774,0.135,0.049,0.277,0.404,0.143
1775,0.443,0.897,0.646,0.188,0.892
1776,0.784,0.416,0.770,0.278,0.103
1777,0.695,0.241,0.303,0.681,0.295
1778,0.598,0.151,0.151,0.973,0.025
1779,0.892,0.520,0.590,0.168,0.313
1780,0.611,0.179,0.369,0.575,0.330
1781,0.860,0.012,0.762,0.304,0.973
1782,0.766,0.888,0.269,0.695,0.707
1783,0.379,0.507,0.650,0.241,0.419
1784,0.772,0.716,0.298,0.765,0.362
1785,0.301,0.476,0.829,0.459,0.869
1786,0.688,0.882,0.405,0.372,0.416
1787,0.201,0.318,0.554,0.814,0.867
1788,0.353,0.812,0.795,0.719,0.939
1789,0.390,0.698,0.629,0.539,0.225
1790,0.294,0.906,0.819,0.676,0.708
1791,0.097,0.649,0.707,0.292,0.904
1792,0.999,0.837,0.600,0.222,0.646
1793,0.297,0.416,0.546,0.564,0.418
1794,0.188,0.114,0.031,0.203,0.346
1795,0.202,0.762,0.410,0.707,0.907
1796,0.834,0.252,0.576,0.636,0.781
1797,0.980,0.219,0.230,0.985,0.217
1798,0.100,0.364,0.430,0.885,0.628
1799,0.387,0.941,0.963,0.221,0.257
1800,0.263,0.138,0.146,0.625,0.744
1801,0.577,0.947,0.364,0.902,0.715
1802,0.290,0.080,0.875,0.917,0.666
1803,0.205,0.595,0.359,0.740,0.287
1804,0.565,0.246,0.081,0.020,0.250
1805,0.780,0.638,0.348,0.454,0.887
1806,0.593,0.711,0.505,0.806,0.173
1807,0.143,0.742,0.068,0.590,0.455
1808,0.558,0.278,0.509,0.171,0.224
1809,0.379,0.366,0.256,0.820,0.744
1810,0.418,0.910,0.862,0.534,0.603
1811,0.880,0.627,0.259,0.178,0.787
1812,0.772,0.341,0.640,0.959,0.544
1813,0.828,0.575,0.141,0.795,0.069
1814,0.986,0.214,0.042,0.306,0.091
1815,0.780,0.021,0.645,0.768,0.053
1816,0.538,0.799,0.617,0.992,0.926
1817,0.333,0.093,0.038,0.102,0.864
1818,0.259,0.137,0.018,0.845,0.515
1819,0.936,0.322,0.070,0.076,0.178
1820,0.122,0.047,0.066,0.375,0.114
1821,0.704,0.841,0.751,0.714,0.690
1822,0.569,0.311,0.490,0.698,0.137
1823,0.657,0.939,0.837,0.178,0.812
1824,0.551,0.041,0.393,0.883,0.217
1825,0.921,0.354,0.903,0.233,0.267
1826,0.671,0.503,0.566,0.597,0.741
1827,0.438,0.569,0.789,0.301,0.091
1828,0.054,0.829,0.642,0.263,0.481
1829,0.150,0.688,0.496,0.012,0.871
1830,0.054,0.133,0.392,0.471,0.881
1831,0.100,0.906,0.085,0.470,0.149
1832,0.151,0.675,0.719,0.915,0.021
1833,0.756,0.905,0.674,0.061,0.258
1834,0.663,0.142,0.335,0.341,0.852
1835,0.993,0.019,0.682,0.618,0.042
1836,0.239,0.823,0.125,0.181,0.041
1837,0.669,0.346,0.247,0.003,0.097
1838,0.796,0.945,0.694,0.974,0.296
1839,0.866,0.108,0.560,0.689,0.393
1840,0.196,0.403,0.929,0.995,0.876
1841,0.340,0.121,0.007,0.214,0.164
1842,0.880,0.505,0.003,0.830,0.874
1843,0.274,0.624,0.822,0.522,0.217
1844,0.918,0.455,0.575,0.740,0.750
1845,0.420,0.791,0.821,0.105,0.854
1846,0.964,0.455,0.858,0.576,0.324
1847,0.163,0.770,0.897,0.750,0.060
1848,0.923,0.591,0.261,0.755,0.519
1849,0.210,0.003,0.003,0.930,0.876
1850,0.289,0.622,0.921,0.144,0.304
1851,0.613,0.241,0.250,0.758,0.860
1852,0.119,0.352,0.103,0.030,0.794
1853,0.907,0.954,0.499,0.866,0.410
1854,0.981,0.231,0.142,0.107,0.854
1855,0.549,0.644,0.150,0.803,0.624
1856,0.622,0.886,0.957,0.346,0.752
1857,0.634,0.929,0.972,0.152,0.336
1858,0.009,0.540,0.518,0.947,0.976
1859,0.617,0.449,0.268,0.719,0.362
1860,0.012,0.231,0.820,0.245,0.659
1861,0.285,0.782,0.018,0.923,0.638
1862,0.791,0.690,0.696,0.595,0.807
1863,0.333,0.487,0.124,0.280,0.507
1864,0.795,0.086,0.969,0.997,0.601
1865,0.269,0.215,0.301,0.046,0.488
1866,0.474,0.042,0.540,0.534,0.101
1867,0.054,0.940,0.657,0.169,0.393
1868,0.896,0.650,0.586,0.947,0.187
1869,0.286,0.872,0.631,0.653,0.044
1870,0.772,0.386,0.330,0.599,0.270
1871,0.304,0.534,0.496,0.711,0.266
1872,0.920,0.824,0.442,0.422,0.013
1873,0.438,0.801,0.658,0.283,0.490
1874,0.366,0.990,0.644,0.581,0.040
1875,0.461,0.127,0.864,0.977,0.690
1876,0.591,0.797,0.342,0.710,0.538
1877,0.068,0.600,0.076,0.516,0.414
1878,0.372,0.561,0.104,0.668,0.869
1879,0.902,0.205,0.379,0.615,0.181
1880,0.208,0.815,0.427,0.440,0.594
1881,0.934,0.620,0.015,0.755,0.205
1882,0.022,0.903,0.072,0.757,0.642
1883,0.206,0.842,0.431,0.807,0.330
1884,0.215,0.725,0.128,0.113,0.155
1885,0.521,0.944,0.566,0.348,0.734
1886,0.766,0.195,0.105,0.706,0.826
1887,0.171,0.573,0.250,0.034,0.744
1888,0.971,0.737,0.520,0.398,0.159
1889,0.520,0.484,0.188,0.573,0.281
1890,0.239,0.589,0.440,0.606,0.187
1891,0.984,0.246,0.204,0.952,0.601
1892,0.616,0.689,0.075,0.301,0.130
1893,0.809,0.438,0.138,0.105,0.297
1894,0.113,0.018,0.050,0.292,0.384
1895,0.089,0.323,0.396,0.529,0.747
1896,0.495,0.010,0.350,0.237,0.068
1897,0.523,0.536,0.889,0.491,0.328
1898,0.691,0.966,0.868,0.367,0.279
1899,0.945,0.348,0.117,0.757,0.808
1900,0.964,0.499,0.941,0.586,0.593
1901,0.186,0.960,0.960,0.807,0.160
1902,0.231,0.206,0.576,0.219,0.544
1903,0.129,0.223,0.284,0.700,0.957
1904,0.533,0.004,0.130,0.311,0.634
1905,0.193,0.598,0.501,0.130,0.002
1906,0.373,0.387,0.978,0.629,0.235
1907,0.961,0.743,0.567,0.318,0.619
1908,0.238,0.046,0.031,0.819,0.002
1909,0.372,0.278,0.444,0.701,0.353
1910,0.745,0.744,0.375,0.815,0.319
1911,0.147,0.355,0.522,0.554,0.593
1912,0.800,0.491,0.693,0.304,0.081
1913,0.733,0.973,0.058,0.634,0.006
1914,0.782,0.085,0.497,0.995,0.797
1915,0.723,0.455,0.692,0.404,0.794
1916,0.645,0.411,0.533,0.496,0.464
1917,0.026,0.556,0.263,0.877,0.509
1918,0.033,0.669,0.527,0.797,0.919
1919,0.944,0.609,0.325,0.278,0.080
1920,0.108,0.332,0.721,0.833,0.825
1921,0.156,0.515,0.135,0.630,0.323
1922,0.775,0.580,0.476,0.160,0.227
1923,0.660,0.022,0.054,0.789,0.395
1924,0.182,0.228,0.609,0.829,0.473
1925,0.092,0.265,0.624,0.861,0.813
1926,0.541,0.660,0.665,0.728,0.583
1927,0.092,0.194,0.626,0.236,0.807
1928,0.006,0.727,0.090,0.596,0.067
1929,0.386,0.046,0.648,0.632,0.184
1930,0.287,0.149,0.384,0.050,0.108
1931,0.899,0.189,0.543,0.437,0.830
1932,0.891,0.190,0.810,0.243,0.676
1933,0.070,0.181,0.383,0.919,0.452
1934,0.266,0.719,0.866,0.340,0.990
1935,0.890,0.170,0.271,0.270,0.850
1936,0.069,0.531,0.544,0.162,0.964
1937,0.261,0.424,0.754,0.259,0.583
1938,0.354,0.697,0.568,0.963,0.411
1939,0.729,0.842,0.519,0.232,0.319
1940,0.522,0.877,0.606,0.037,0.569
1941,0.477,0.415,0.865,0.095,0.947
1942,0.493,0.896,0.382,0.260,0.442
1943,0.530,0.264,0.934,0.590,0.899
1944,0.196,0.443,0.120,0.738,0.872
1945,0.343,0.834,0.357,0.895,0.358
1946,0.139,0.644,0.846,0.836,0.648
1947,0.308,0.067,0.481,0.191,0.640
1948,0.630,0.309,0.133,0.170,0.230
1949,0.048,0.665,0.471,0.220,0.054
1950,0.093,0.286,0.586,0.932,0.251
1951,0.828,0.449,0.675,0.860,0.844
1952,0.566,0.089,0.028,0.530,0.421
1953,0.704,0.117,0.911,0.682,0.131
1954,0.889,0.655,0.229,0.076,0.180
1955,0.569,0.464,0.805,0.356,0.246
1956,0.356,0.886,0.442,0.397,0.488
1957,0.459,0.145,0.436,0.411,0.125
1958,0.942,0.774,0.783,0.769,0.038
1959,0.118,0.074,0.295,0.261,0.760
1960,0.119,0.289,0.918,0.525,0.426
1961,0.094,0.206,0.522,0.957,0.633
1962,0.030,0.327,0.024,0.601,0.986
1963,0.564,0.074,0.320,0.808,0.101
1964,0.389,0.616,0.834,0.234,0.137
1965,0.601,0.851,0.315,0.801,0.104
1966,0.294,0.251,0.742,0.812,0.876
1967,0.152,0.524,0.906,0.618,0.246
1968,0.692,0.048,0.736,0.816,0.887
1969,0.146,0.979,0.547,0.528,0.218
1970,0.830,0.173,0.835,0.008,0.471
1971,0.700,0.584,0.779,0.484,0.838
1972,0.871,0.809,0.092,0.463,0.091
1973,0.698,0.146,0.074,0.511,0.551
1974,0.162,0.263,0.092,0.442,0.467
1975,0.116,0.665,0.366,0.900,0.359
1976,0.191,0.046,0.602,0.786,0.572
1977,0.536,0.102,0.180,0.409,0.573
1978,0.322,0.505,0.200,0.016,0.130
1979,0.609,0.656,0.493,0.749,0.079
1980,0.246,0.631,0.682,0.162,0.602
1981,0.800,0.820,0.848,0.121,0.376
1982,0.022,0.337,0.956,0.917,0.796
1983,0.091,0.596,0.495,0.663,0.597
1984,0.428,0.676,0.403,0.782,0.960
1985,0.255,0.679,0.736,0.894,0.942
1986,0.436,0.056,0.876,0.616,0.117
1987,0.609,0.524,0.668,0.909,0.019
1988,0.302,0.185,0.222,0.474,0.911
1989,0.435,0.084,0.743,0.130,0.171
1990,0.414,0.429,0.450,0.787,0.959
1991,0.572,0.442,0.231,0.243,0.675
1992,0.502,0.894,0.046,0.103,0.524
1993,0.406,0.765,0.614,0.102,0.363
1994,0.528,0.444,0.025,0.565,0.057
1995,0.990,0.242,0.233,0.115,0.624
1996,0.924,0.031,0.815,0.593,0.984
1997,0.461,0.194,0.268,0.176,0.315
1998,0.258,0.241,0.935,0.457,0.094
1999,0.886,0.206,0.141,0.782,0.041
2000,0.848,0.447,0.556,0.412,0.620
2001,0.176,0.076,0.157,0.368,0.742
2002,0.738,0.833,0.806,0.152,0.656
2003,0.590,0.195,0.193,0.330,0.037
2004,0.290,0.298,0.030,0.683,0.180
2005,0.396,0.628,0.242,0.012,0.259
2006,0.939,0.370,0.134,0.435,0.625
2007,0.608,0.918,0.936,0.390,0.377
2008,0.347,0.226,0.472,0.909,0.487
2009,0.910,0.440,0.885,0.115,0.762
2010,0.886,0.371,0.124,0.380,0.929
2011,0.385,0.775,0.792,0.325,0.035
2012,0.535,0.804,0.625,0.713,0.017
2013,0.765,0.026,0.278,0.487,0.644
2014,0.487,0.503,0.513,0.058,0.237
2015,0.321,0.607,0.910,0.008,0.549
2016,0.102,0.818,0.216,0.876,0.101
2017,0.427,0.829,0.815,0.076,0.941
2018,0.836,0.268,0.542,0.992,0.104
2019,0.073,0.329,0.013,0.872,0.650
2020,0.128,0.851,0.303,0.418,0.378
2021,0.248,0.320,0.190,0.044,0.175
2022,0.423,0.147,0.541,0.730,0.297
2023,0.321,0.833,0.458,0.804,0.727
2024,0.783,0.511,0.390,0.431,0.906
2025,0.012,0.020,0.858,0.002,0.361
2026,0.512,0.605,0.608,0.985,0.535
2027,0.860,0.771,0.220,0.602,0.281
2028,0.460,0.580,0.097,0.873,0.810
2029,0.670,0.760,0.928,0.489,0.400
2030,0.068,0.609,0.709,0.943,0.641
2031,0.116,0.779,0.093,0.150,0.645
2032,0.661,0.307,0.185,0.593,0.653
2033,0.719,0.211,0.493,0.241,0.845
2034,0.032,0.226,0.106,0.533,0.174
2035,0.939,0.485,0.956,0.185,0.916
2036,0.411,0.080,0.168,0.386,0.796
2037,0.104,0.765,0.867,0.023,0.807
2038,0.411,0.192,0.446,0.637,0.941
2039,0.803,0.185,0.597,0.508,0.237
2040,0.697,0.714,0.352,0.008,0.870
2041,0.913,0.156,0.212,0.797,0.644
2042,0.627,0.298,0.974,0.475,0.427
2043,0.366,0.393,0.191,0.810,0.290
2044,0.882,0.636,0.112,0.700,0.105
2045,0.637,0.791,0.581,0.812,0.902
2046,0.818,0.842,0.303,0.668,0.066
2047,0.694,0.584,0.254,0.788,0.106
2048,0.340,0.369,0.410,0.922,0.705
2049,0.206,0.635,0.446,0.770,0.886
2050,0.293,0.409,0.911,0.774,0.462
2051,0.324,0.321,0.562,0.127,0.100
2052,0.569,0.782,0.065,0.711,0.630
2053,0.579,0.668,0.416,0.573,0.178
2054,0.182,0.712,0.031,0.432,0.159
2055,0.767,0.643,0.289,0.992,0.555
2056,0.893,0.757,0.053,0.271,0.154
2057,0.192,0.324,0.942,0.295,0.348
2058,0.381,0.281,0.904,0.619,0.273
2059,0.978,0.043,0.376,0.113,0.600
2060,0.455,0.080,0.200,0.191,0.316
2061,0.145,0.088,0.485,0.956,0.130
2062,0.301,0.361,0.442,0.912,0.344
2063,0.802,0.569,0.946,0.217,0.159
2064,0.583,0.580,0.932,0.956,0.920
2065,0.654,0.384,0.831,0.354,0.321
2066,0.542,0.451,0.197,0.066,0.085
2067,0.413,0.631,0.423,0.533,0.196
2068,0.804,0.771,0.410,0.218,0.081
2069,0.902,0.186,0.917,0.704,0.735
2070,0.577,0.577,0.175,0.708,0.271
2071,0.294,0.863,0.856,0.325,0.088
2072,0.711,0.543,0.256,0.682,0.412
2073,0.133,0.339,0.840,0.104,0.617
2074,0.744,0.533,0.453,0.389,0.904
2075,0.365,0.981,0.876,0.967,0.873
2076,0.628,0.713,0.255,0.305,0.831
2077,0.513,0.413,0.464,0.862,0.046
2078,0.326,0.024,0.749,0.812,0.938
2079,0.495,0.915,0.605,0.854,0.666
2080,0.520,0.615,0.916,0.932,0.641
2081,0.043,0.048,0.379,0.588,0.982
2082,0.284,0.877,0.100,0.545,0.276
2083,0.719,0.662,0.822,0.556,0.558
2084,0.916,0.268,0.484,0.443,0.983
2085,0.567,0.129,0.816,0.521,0.818
2086,0.289,0.205,0.525,0.175,0.475
2087,0.182,0.191,0.669,0.978,0.874
2088,0.647,0.022,0.050,0.941,0.006
2089,0.722,0.845,0.480,0.963,0.472
2090,0.991,0.759,0.137,0.414,0.585
2091,0.005,0.452,0.197,0.948,0.771
2092,0.101,0.055,0.704,0.528,0.085
2093,0.520,0.619,0.215,0.875,0.328
2094,0.146,0.451,0.468,0.354,0.837
2095,0.991,0.026,0.116,0.596,0.793
2096,0.296,0.532,0.266,0.758,0.237
2097,0.090,0.170,0.801,0.618,0.570
2098,0.069,0.424,0.879,0.730,0.439
2099,0.352,0.193,0.176,0.100,0.148
2100,0.528,0.706,0.010,0.896,0.449
2101,0.046,0.476,0.221,0.567,0.791
2102,0.104,0.920,0.826,0.760,0.596
2103,0.424,0.266,0.745,0.849,0.179
2104,0.509,0.806,0.943,0.751,0.988
2105,0.823,0.240,0.177,0.828,0.065
2106,0.259,0.584,0.415,0.856,0.977
2107,0.636,0.847,0.282,0.907,0.701
2108,0.938,0.064,0.636,0.943,0.901
2109,0.326,0.522,0.726,0.604,0.039
2110,0.875,0.816,0.115,0.311,0.274
2111,0.879,0.268,0.564,0.645,0.671
2112,0.165,0.848,0.318,0.147,0.840
2113,0.199,0.597,0.433,0.797,0.009
2114,0.276,0.232,0.775,0.811,0.154
2115,0.779,0.883,0.776,0.828,0.896
2116,0.200,0.464,0.954,0.048,0.034
2117,0.052,0.739,0.562,0.323,0.366
2118,0.608,0.312,0.029,0.508,0.909
2119,0.284,0.017,0.771,0.001,0.338
2120,0.583,0.845,0.285,0.454,0.720
2121,0.030,0.577,0.439,0.237,0.247
2122,0.694,0.853,0.057,0.221,0.318
2123,0.442,0.368,0.088,0.962,0.913
2124,0.816,0.015,0.383,0.275,0.604
2125,0.200,0.867,0.303,0.178,0.715
2126,0.600,0.891,0.160,0.234,0.790
2127,0.201,0.348,0.650,0.276,0.543
2128,0.859,0.930,0.115,0.870,0.979
2129,0.338,0.040,0.622,0.865,0.345
2130,0.742,0.389,0.025,0.097,0.653
2131,0.565,0.394,0.335,0.259,0.671
2132,0.941,0.035,0.020,0.568,0.923
2133,0.842,0.647,0.110,0.343,0.589
2134,0.838,0.082,0.661,0.792,0.556
2135,0.493,0.552,0.042,0.600,0.342
2136,0.321,0.647,0.521,0.020,0.645
2137,0.689,0.908,0.412,0.429,0.925
2138,0.677,0.555,0.922,0.590,0.302
2139,0.486,0.725,0.220,0.818,0.473
2140,0.922,0.066,0.066,0.432,0.404
2141,0.537,0.867,0.711,0.389,0.383
2142,0.706,0.816,0.219,0.993,0.113
2143,0.890,0.839,0.290,0.076,0.902
2144,0.720,0.171,0.770,0.619,0.604
2145,0.339,0.338,0.347,0.155,0.697
2146,0.710,0.347,0.516,0.156,0.234
2147,0.612,0.781,0.825,0.441,0.370
2148,0.617,0.105,0.360,0.291,0.628
2149,0.085,0.672,0.867,0.537,0.008
2150,0.405,0.869,0.974,0.306,0.029
2151,0.065,0.443,0.842,0.566,0.646
2152,0.050,0.544,0.781,0.911,0.696
2153,0.605,0.595,0.805,0.747,0.734
2154,0.630,0.852,0.617,0.771,0.173
2155,0.868,0.348,0.109,0.920,0.590
2156,0.992,0.991,0.589,0.031,0.544
2157,0.685,0.828,0.927,0.240,0.003
2158,0.913,0.115,0.270,0.368,0.385
2159,0.069,0.348,0.889,0.130,0.112
2160,0.108,0.481,0.400,0.983,0.011
2161,0.127,0.934,0.584,0.305,0.760
2162,0.619,0.694,0.581,0.115,0.151
2163,0.379,0.645,0.125,0.706,0.619
2164,0.751,0.072,0.987,0.424,0.719
2165,0.771,0.874,0.310,0.100,0.517
2166,0.560,0.571,0.350,0.382,0.248
2167,0.209,0.906,0.735,0.429,0.733
2168,0.198,0.521,0.296,0.297,0.853
2169,0.918,0.072,0.811,0.804,0.497
2170,0.906,0.724,0.553,0.887,0.517
2171,0.135,0.613,0.251,0.941,0.810
2172,0.001,0.599,0.596,0.415,0.722
2173,0.071,0.357,0.012,0.378,0.837
2174,0.507,0.443,0.391,0.194,0.213
2175,0.726,0.836,0.783,0.669,0.026
2176,0.575,0.567,0.158,0.040,0.158
2177,0.375,0.050,0.898,0.002,0.355
2178,0.225,0.795,0.443,0.651,0.445
2179,0.590,0.569,0.969,0.013,0.581
2180,0.215,0.479,0.396,0.499,0.062
2181,0.674,0.594,0.504,0.585,0.372
2182,0.729,0.655,0.492,0.084,0.716
2183,0.874,0.376,0.296,0.890,0.904
2184,0.542,0.086,0.154,0.142,0.344
2185,0.655,0.566,0.511,0.918,0.991
2186,0.263,0.727,0.904,0.885,0.274
2187,0.422,0.599,0.980,0.098,0.577
2188,0.985,0.316,0.883,0.654,0.280
2189,0.126,0.648,0.587,0.931,0.242
2190,0.290,0.582,0.512,0.550,0.048
2191,0.237,0.571,0.371,0.675,0.083
2192,0.306,0.521,0.827,0.058,0.871
2193,0.078,0.081,0.788,0.240,0.536
2194,0.543,0.798,0.804,0.142,0.244
2195,0.937,0.313,0.685,0.366,0.386
2196,0.325,0.884,0.896,0.553,0.085
2197,0.866,0.465,0.081,0.616,0.891
2198,0.996,0.954,0.868,0.624,0.258
2199,0.392,0.972,0.751,0.592,0.812
2200,0.975,0.691,0.878,0.656,0.991
2201,0.463,0.277,0.268,0.318,0.513
2202,0.417,0.369,0.951,0.468,0.440
2203,0.828,0.854,0.314,0.801,0.648
2204,0.526,0.456,0.771,0.037,0.668
2205,0.509,0.354,0.429,0.229,0.389
2206,0.731,0.165,0.690,0.508,0.406
2207,0.260,0.232,0.410,0.938,0.398
2208,0.339,0.209,0.517,0.817,0.457
2209,0.564,0.681,0.258,0.594,0.741
2210,0.139,0.491,0.076,0.510,0.013
2211,0.265,0.279,0.251,0.820,0.670
2212,0.820,0.645,0.139,0.053,0.557
2213,0.783,0.264,0.571,0.751,0.317
2214,0.048,0.448,0.940,0.562,0.836
2215,0.743,0.365,0.060,0.597,0.236
2216,0.290,0.215,0.344,0.598,0.199
2217,0.011,0.510,0.610,0.620,0.750
2218,0.177,0.586,0.323,0.956,0.993
2219,0.541,0.688,0.329,0.136,0.881
2220,0.359,0.658,0.925,0.553,0.667
2221,0.140,0.538,0.680,0.926,0.412
2222,0.828,0.644,0.403,0.925,0.418
2223,0.496,0.661,0.992,0.080,0.341
2224,0.041,0.953,0.926,0.034,0.198
2225,0.420,0.070,0.131,0.025,0.501
2226,0.237,0.543,0.758,0.226,0.265
2227,0.747,0.752,0.133,0.562,0.729
2228,0.245,0.139,0.370,0.057,0.390
2229,0.338,0.092,0.612,0.989,0.369
2230,0.077,0.540,0.648,0.317,0.957
2231,0.930,0.530,0.915,0.069,0.583
2232,0.486,0.979,0.530,0.958,0.092
2233,0.574,0.268,0.099,0.074,0.444
2234,0.663,0.850,0.637,0.572,0.514
2235,0.191,0.481,0.601,0.679,0.878
2236,0.645,0.001,0.145,0.861,0.893
2237,0.522,0.209,0.167,0.020,0.474
2238,0.172,0.992,0.362,0.789,0.202
2239,0.802,0.751,0.696,0.022,0.103
2240,0.366,0.026,0.696,0.408,0.245
2241,0.851,0.042,0.604,0.690,0.193
2242,0.173,0.584,0.457,0.999,0.224
2243,0.548,0.405,0.444,0.585,0.781
2244,0.220,0.903,0.869,0.116,0.962
2245,0.589,0.387,0.508,0.418,0.961
2246,0.133,0.316,0.674,0.475,0.150
2247,0.968,0.905,0.167,0.665,0.643
2248,0.094,0.830,0.592,0.490,0.292
2249,0.287,0.802,0.693,0.072,0.363
2250,0.110,0.374,0.025,0.657,0.020
2251,0.947,0.509,0.192,0.141,0.000
2252,0.376,0.299,0.601,0.243,0.063
2253,0.876,0.938,0.335,0.257,0.269
2254,0.722,0.651,0.347,0.617,0.583
2255,0.179,0.984,0.412,0.425,0.748
2256,0.377,0.434,0.342,0.779,0.413
2257,0.961,0.174,0.536,0.283,0.347
2258,0.665,0.671,0.056,0.637,0.952
2259,0.478,0.575,0.882,0.430,0.851
2260,0.111,0.200,0.114,0.411,0.456
2261,0.453,0.269,0.661,0.512,0.600
2262,0.446,0.295,0.975,0.401,0.037
2263,0.984,0.431,0.180,0.135,0.073
2264,0.020,0.765,0.776,0.616,0.840
2265,0.581,0.619,0.090,0.440,0.069
2266,0.743,0.939,0.062,0.303,0.504
2267,0.847,0.797,0.684,0.346,0.237
2268,0.425,0.070,0.034,0.050,0.533
2269,0.564,0.055,0.295,0.437,0.443
2270,0.784,0.207,0.555,0.401,0.635
2271,0.116,0.114,0.350,0.570,0.259
2272,0.531,0.514,0.272,0.896,0.355
2273,0.462,0.756,0.979,0.389,0.003
2274,0.431,0.599,0.520,0.589,0.427
2275,0.130,0.808,0.990,0.523,0.759
2276,0.591,0.515,0.140,0.626,0.720
2277,0.978,0.717,0.362,0.567,0.963
2278,0.190,0.168,0.075,0.644,0.480
2279,0.935,0.996,0.604,0.624,0.117
2280,0.411,0.609,0.664,0.187,0.768
2281,0.287,0.439,0.567,0.985,0.988
2282,0.248,0.832,0.587,0.919,0.682
2283,0.876,0.486,0.769,0.039,0.447
2284,0.746,0.674,0.410,0.137,0.606
2285,0.325,0.932,0.485,0.118,0.441
2286,0.703,0.315,0.975,0.606,0.554
2287,0.800,0.491,0.711,0.211,0.065
2288,0.252,0.816,0.376,0.298,0.650
2289,0.309,0.915,0.443,0.361,0.623
2290,0.627,0.588,0.855,0.653,0.083
2291,0.010,0.178,0.200,0.584,0.728
2292,0.597,0.470,0.613,0.069,0.148
2293,0.657,0.079,0.446,0.788,0.139
2294,0.219,0.021,0.641,0.652,0.306
2295,0.437,0.772,0.088,0.186,0.074
2296,0.036,0.244,0.247,0.612,0.808
2297,0.924,0.622,0.799,0.821,0.285
2298,0.314,0.396,0.913,0.222,0.445
2299,0.271,0.218,0.889,0.033,0.453
2300,0.214,0.137,0.529,0.781,0.108
2301,0.805,0.844,0.446,0.202,0.284
2302,0.753,0.352,0.278,0.720,0.371
2303,0.689,0.532,0.549,0.873,0.563
2304,0.250,0.802,0.715,0.817,0.267
2305,0.754,0.454,0.404,0.217,0.045
2306,0.626,0.827,0.705,0.370,0.301
2307,0.153,0.865,0.188,0.625,0.105
2308,0.183,0.673,0.103,0.523,0.078
2309,0.299,0.410,0.307,0.515,0.059
2310,0.246,0.553,0.819,0.280,0.125
2311,0.204,0.944,0.401,1.000,0.995
2312,0.693,0.887,0.333,0.850,0.753
2313,0.659,0.542,0.176,0.963,0.028
2314,0.764,0.698,0.944,0.148,0.518
2315,0.571,0.044,0.421,0.177,0.512
2316,0.613,0.145,0.098,0.595,0.736
2317,0.888,0.915,0.204,0.927,0.770
2318,0.741,0.316,0.729,0.852,0.991
2319,0.947,0.838,0.296,0.115,0.124
2320,0.129,0.834,0.773,0.182,0.939
2321,0.340,0.893,0.544,0.050,0.994
2322,0.619,0.381,0.096,0.587,0.361
2323,0.729,0.515,0.026,0.029,0.689
2324,0.761,0.986,0.075,0.333,0.211
2325,0.950,0.149,0.786,0.099,0.597
2326,0.991,0.775,0.842,0.610,0.721
2327,0.605,0.334,0.496,0.801,0.125
2328,0.127,0.922,0.788,0.762,0.955
2329,0.440,0.421,0.099,0.687,0.171
2330,0.762,0.801,0.669,0.195,0.833
2331,0.905,0.353,0.923,0.666,0.634
2332,0.264,0.715,0.753,0.922,0.673
2333,0.327,0.642,0.776,0.750,0.594
2334,0.817,0.462,0.615,0.883,0.062
2335,0.246,0.449,0.471,0.248,0.087
2336,0.755,0.966,0.806,0.244,0.916
2337,0.304,0.221,0.236,0.466,0.646
2338,0.559,0.968,0.827,0.700,0.354
2339,0.135,0.863,0.632,0.203,0.183
2340,0.247,0.721,0.075,0.241,0.549
2341,0.362,0.623,0.407,0.913,0.841
2342,0.779,0.704,0.408,0.555,0.526
2343,0.833,0.421,0.983,0.011,0.576
2344,0.976,0.778,0.105,0.328,0.473
2345,0.809,0.120,0.773,0.158,0.819
2346,0.608,0.161,0.570,0.691,0.097
2347,0.012,0.315,0.921,0.177,0.279
2348,0.802,0.040,0.543,0.224,0.972
2349,0.183,0.507,0.280,0.623,0.908
2350,0.986,0.169,0.698,0.671,0.184
2351,0.425,0.755,0.061,0.006,0.249
2352,0.895,0.041,0.762,0.316,0.632
2353,0.919,0.852,0.763,0.537,0.735
2354,0.929,0.088,1.000,0.072,0.544
2355,0.076,0.123,0.030,0.329,0.246
2356,0.594,0.264,0.632,0.453,0.355
2357,0.515,0.882,0.495,0.023,0.053
2358,0.097,0.541,0.327,0.779,0.684
2359,0.185,0.256,0.543,0.075,0.747
